what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186282310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186282440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186284147
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1649186284163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186326658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186329982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186330014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186331192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186331238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186356660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186356707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186367286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186369384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186375108
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1649186390462
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1649186400724
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1649186415206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186435227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186444606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186444666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186446435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186446454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186447848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186447880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186453065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186453091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186458671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186458710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186460030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186460061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186461678
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1649186461708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186465162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186466440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186466471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186478851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186478882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186479886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186479886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186490938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186496379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186498002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186498048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186580327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186581040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186582538
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1649186582601
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1649186582852
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1649186583339
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1649186583450
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1649186583450
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1649186583450
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1649186583466
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1649186583466
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1649186583466
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.400.v201103082016,"org.eclipse.jst.ws.consumption.ui",1649186583466
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.600.v201103082016,"org.eclipse.jst.ws.consumption",1649186583466
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1649186583466
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1649186583466
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1649343901811
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1649343901811
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1649343901811
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1649343901811
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1649343901811
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1649343901811
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1649343901811
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1649343901820
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1649343901820
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1649343901820
